"tag","ja","aliases"
"blue_reflection_sun","BLUE_REFLECTION_燦,ブルリフS,ブルーリフレクションサン","BLUE_REFLECTION_燦,ブルリフS,ブルーリフレクションサン"
"blue_reflection_tie","ブルリフT,ブルーリフレクションタイ","ブルリフT,ブルーリフレクションタイ"
"blue_revolver","ブルーリボルバー","ブルーリボルバー"
"blue_rose_(tiger_&_bunny)","ブルーローズ","ブルーローズ"
"blue_screen_of_death","ブルースクリーン","ブルースクリーン"
"blue_seed","ブルーシード,碧奇魂ブルーシード","ブルーシード,碧奇魂ブルーシード"
"blue_shell_(mario)","トゲゾー","トゲゾー"
"blue_toad_(mario)","青キノピオ","青キノピオ"
"blue_whale","シロナガスクジラ","シロナガスクジラ"
"blue_whale_(kemono_friends)","シロナガスクジラ(けものフレンズ)","シロナガスクジラ(けものフレンズ)"
"bluebird","ルリツグミ","ルリツグミ"
"bluecher_(azur_lane)","ブリュッヒャー(アズールレーン)","ブリュッヒャー(アズールレーン)"
"blueprint_(medium)","図面","図面"
"blueprint_(object)","設計図","設計図"
"bluesona_(bluethebone)","bluesona","bluesona"
"bluey","ブルーイ","ブルーイ"
"bluey_heeler","bluey_heeler","bluey_heeler"
"bnw_(umamusume)","BNW(ウマ娘)","BNW(ウマ娘)"
"board_eraser","黒板消し","黒板消し"
"boater_hat","カンカン帽","カンカン帽"
"bob-omb","ボム兵","ボム兵"
"bob_ross","ボブ・ロス,ボブロス","ボブ・ロス,ボブロス"
"boba_fett","ボバ・フェット,ボバフェット","ボバ・フェット,ボバフェット"
"bobby_(paper_mario)","ボム平","ボム平"
"bobby_fulbright","番轟三","番轟三"
"bobo_(miracle_nikki)","啵啵","啵啵"
"bobobo-bo_bo-bobo","ボボボーボ・ボーボボ","ボボボーボ・ボーボボ"
"bobobo-bo_bo-bobo_(character)","ボーボボ(キャラクター)","ボーボボ(キャラクター)"
"bocchan_(shinigami_bocchan_to_kuro_maid)","坊ちゃん(死神坊ちゃんと黒メイド)","坊ちゃん(死神坊ちゃんと黒メイド)"
"bodhisattva","菩薩","菩薩"
"body_bridge","ブリッジ","ブリッジ"
"body_chain","ボディチェーン","ボディチェーン"
"body_control","肉体操作,操り,強制ダンス","肉体操作,操り,強制ダンス"
"body_modification","肉体改造","肉体改造"
"body_switch","入れ替わり","入れ替わり"
"bodyboard","ボディボード","ボディボード"
"bodycon","ボディコン","ボディコン"
"bofors_40_mm_gun","ボフォース40mm機関砲","ボフォース40mm機関砲"
"bohegao","ボヘ顔,ぼへ顔","ボヘ顔,ぼへ顔"
"bohemian_rhapsody","Bohemian_Rhapsody","Bohemian_Rhapsody"
"boingo","ボインゴ","ボインゴ"
"bois_belleau_(azur_lane)","ボア・ベロー","ボア・ベロー"
"boise_(azur_lane)","ボイシ(アズールレーン),ボイシ","ボイシ(アズールレーン),ボイシ"
"boise_(sheepish_sapphire)_(azur_lane)","恥じらいのエメラルド","恥じらいのエメラルド"
"bojji","ボッジ(王様ランキング),ボッジ,ボッジ王子","ボッジ(王様ランキング),ボッジ,ボッジ王子"
"bokoblin","ボコブリン","ボコブリン"
"boku_dake_ga_inai_machi","僕だけがいない街,僕街,ぼくまち","僕だけがいない街,僕街,ぼくまち"
"boku_girl","ボクガール","ボクガール"
"boku_no_ashiato_kimi_no_yukusaki_(project_sekai)","ボクのあしあと_キミのゆくさき","ボクのあしあと_キミのゆくさき"
"boku_no_kanojo_sensei","僕のカノジョ先生","僕のカノジョ先生"
"boku_no_kanojo_wa_ningyohime!?","僕の彼女は人魚姫!?,僕の彼女は人魚姫","僕の彼女は人魚姫!?,僕の彼女は人魚姫"
"boku_no_kokoro_no_yabai_yatsu","僕の心のヤバイやつ,僕ヤバ","僕の心のヤバイやつ,僕ヤバ"
"boku_no_mirai_wa_koi_to_kakin_to","僕の未来は、恋と課金と。","僕の未来は、恋と課金と。"
"boku_no_pico","ぼくのぴこ","ぼくのぴこ"
"boku_no_risou_no_isekai_seikatsu","ボクの理想の異世界生活","ボクの理想の異世界生活"
"boku_to_kanojo_no_onani_life","僕と彼女のオナニーライフ","僕と彼女のオナニーライフ"
"boku_to_koi_suru_ponkotsu_akuma.","僕と恋するポンコツアクマ。,恋クマ。","僕と恋するポンコツアクマ。,恋クマ。"
"boku_to_maou","ボクと魔王","ボクと魔王"
"boku_wa_chiisana_succubus_no_shimobe","僕は小さな淫魔〈サキュバス〉のしもべ","僕は小さな淫魔〈サキュバス〉のしもべ"
"boku_wa_ohime-sama_ni_narenai","僕はお姫様になれない","僕はお姫様になれない"
"bokujou_monogatari","牧場物語","牧場物語"
"bokujou_monogatari:_hajimari_no_daichi","はじまりの大地","はじまりの大地"
"bokujou_monogatari:_mittsu_no_sato_no_taisetsuna_tomodachi","3つの里の大切な友達","3つの里の大切な友達"
"bokujou_monogatari:_waku_waku_animal_march","わくわくアニマルマーチ","わくわくアニマルマーチ"
"bokujou_monogatari:_yasuragi_no_ki","やすらぎの樹","やすらぎの樹"
"bokukawauso","ボクカワウソ","ボクカワウソ"
"bokura_no_16bit_warz_(vocaloid)","ぼくらの16bit戦争","ぼくらの16bit戦争"
"bokura_no_live_kimi_to_no_life","僕らのLIVE君とのLIFE,ぼららら","僕らのLIVE君とのLIFE,ぼららら"
"bokura_wa_ima_no_naka_de","僕らは今のなかで","僕らは今のなかで"
"bokura_wa_minna_kawaisou","僕らはみんな河合荘","僕らはみんな河合荘"
"bokurano","ぼくらの","ぼくらの"
"bokusatsu_tenshi_dokuro-chan","撲殺天使ドクロちゃん","撲殺天使ドクロちゃん"
"bokutachi_no_remake","ぼくたちのリメイク","ぼくたちのリメイク"
"bokutachi_no_seizon_tousou_(project_sekai)","ボク達の生存逃走","ボク達の生存逃走"
"bokutachi_wa_benkyou_ga_dekinai","ぼくたちは勉強ができない","ぼくたちは勉強ができない"
"bokutachi_wa_hitotsu_no_hikari","僕たちはひとつの光","僕たちはひとつの光"
"bokuto_koutarou","木兎光太郎","木兎光太郎"
"boldore","ガントル","ガントル"
"bollard","ボラード","ボラード"
"bolo_(shantae)","ボロ","ボロ"
"boltund","パルスワン","パルスワン"
"bomb_(final_fantasy)","ボム","ボム"
"bomb_devil_(chainsaw_man)","爆弾の悪魔,ボム(チェンソーマン)","爆弾の悪魔,ボム(チェンソーマン)"
"bomb_man","ボンバーマン(ロックマン)","ボンバーマン(ロックマン)"
"bomber","爆撃機","爆撃機"
"bomberman","爆弾男,ボンバーマン","爆弾男,ボンバーマン"
"bomberman_jetters","ボンバーマンジェッターズ","ボンバーマンジェッターズ"
"bon_(vtuber)","bontherocks","bontherocks"
"bon_clay","ボン・クレー","ボン・クレー"
"bon_homme_richard_(azur_lane)","ボノム・リシャール(アズールレーン)","ボノム・リシャール(アズールレーン)"
"bonanus_(genshin_impact)","伐难","伐难"
"bonbori_(lighting)","雪洞,ぼんぼり","雪洞,ぼんぼり"
"bond_(spy_x_family)","ボンド,ボンド(SPY×FAMILY)","ボンド,ボンド(SPY×FAMILY)"
"bond_en","bondlive_en","bondlive_en"
"bondage_mittens","拘束ミトン","拘束ミトン"
"bondrewd","ボンドルド","ボンドルド"
"bonfire","焚き火","焚き火"
"bong","ボング","ボング"
"bonito","カツオ,鰹","カツオ,鰹"
"bonnie_(bunny_gif)","CARROTKEEPERS","CARROTKEEPERS"
"bonnie_(fnaf)","ボニー,バニー","ボニー,バニー"
"bonnie_(pokemon)","ユリーカ,ユリーカ(アニポケ)","ユリーカ,ユリーカ(アニポケ)"
"bonnou-chan","ぼんのうちゃん","ぼんのうちゃん"
"bonnouji_momoha","盆能寺百八","盆能寺百八"
"bonobono","ぼのぼの","ぼのぼの"
"bonsai","盆栽,ぼんさい","盆栽,ぼんさい"
"bonsly","ウソハチ","ウソハチ"
"bonta-kun","ボン太くん","ボン太くん"
"boobies_uniform","ブービーズ","ブービーズ"
"booby_trap","ブービートラップ","ブービートラップ"
"boogeyman_(housamo)","ブギーマン","ブギーマン"
"boogiepop","ブギーポップは笑わない,ブギーポップ","ブギーポップは笑わない,ブギーポップ"
"boogiepop_(character)","ブギーポップ","ブギーポップ"
"book_of_fuxi","苍小玄","苍小玄"
"book_of_the_azure_sky","蒼天の書","蒼天の書"
"book_of_the_cafe","連縁カフェ","連縁カフェ"
"book_of_yog","依盖之书","依盖之书"
"bookstore","本屋,書店","本屋,書店"
"boombox","ラジカセ,ラジオカセットレコーダー","ラジカセ,ラジオカセットレコーダー"
"boomerang","ブーメラン","ブーメラン"
"boonie_hat","ブーニーハット","ブーニーハット"
"bootes_(constellation)","うしかい座,牛飼い座","うしかい座,牛飼い座"
"booth_babe","イベントコンパニオン,コンパニオン","イベントコンパニオン,コンパニオン"
"boothill_(honkai:_star_rail)","Boothill","Boothill"
"bootjob","ブーツコキ","ブーツコキ"
"border_break","ボーダーブレイク","ボーダーブレイク"
"border_collie","ボーダー・コリー","ボーダー・コリー"
"borderlands_(series)","ボーダーランズ","ボーダーランズ"
"boris_airay","ボリス・エレイ,ボリス","ボリス・エレイ,ボリス"
"boroboro_no_elf-san_wo_shiawase_ni_suru_kusuri_uri-san","ボロボロのエルフさんを幸せにする薬売りさん","ボロボロのエルフさんを幸せにする薬売りさん"
"borongo","ボロンゴ","ボロンゴ"
"borr","ボラー(SSSS.GRIDMAN)","ボラー(SSSS.GRIDMAN)"
"borrowing_race","借り物競走","借り物競走"
"borscht_(food)","ボルシチ","ボルシチ"
"bort","ボルツ","ボルツ"
"boruto:_naruto_next_generations","BORUTO","BORUTO"
"boruto:_naruto_the_movie","ボルト‐ナルト・ザ・ムービー‐","ボルト‐ナルト・ザ・ムービー‐"
"boruto:_two_blue_vortex","BorutoTwoBlueVortex","BorutoTwoBlueVortex"
"boryeon_(last_origin)","宝蓮","宝蓮"
"borzoi","ボルゾイ","ボルゾイ"
"bos_brunnen","ボオス・ブルネン","ボオス・ブルネン"
"bosacius_(genshin_impact)","浮舍(原神)","浮舍(原神)"
"boss_coffee","宇宙人ジョーンズ","宇宙人ジョーンズ"
"boss_fight","ボス戦","ボス戦"
"boston_crab","逆エビ固め","逆エビ固め"
"boston_dynamics","ボストン・ダイナミクス,ボストンダイナミクス","ボストン・ダイナミクス,ボストンダイナミクス"
"boston_terrier","ボストンテリア","ボストンテリア"
"botamon","ボタモン","ボタモン"
"botan_(yu_yu_hakusho)","ぼたん,ぼたん(幽遊白書)","ぼたん,ぼたん(幽遊白書)"
"bottle_cap_challenge","ボトルキャップチャレンジ","ボトルキャップチャレンジ"
"bottle_miku","ボトルミク,瓶MIKU","ボトルミク,瓶MIKU"
"bou_(sen_to_chihiro_no_kamikakushi)","坊ネズミ","坊ネズミ"
"boucheron_(fire_emblem)","ブシュロン","ブシュロン"
"boudica_(shining_goddess)_(fate)","シャイニー・ゴッデス","シャイニー・ゴッデス"
"bouffalant","バッフロン","バッフロン"
"bougainvillea_(flower)","ブーゲンビリア","ブーゲンビリア"
"bougyoryoku_zero_no_yome","防御力ゼロの嫁","防御力ゼロの嫁"
"bouhatei_tetora","防波亭手寅","防波亭手寅"
"boukou-chan_(tokiwata_soul)","暴行ちゃん","暴行ちゃん"
"boukun_habanero","暴君ハバネロ","暴君ハバネロ"
"boulder","岩","岩"
"boulder_badge","グレーバッジ","グレーバッジ"
"bouncing_penis","ペニ分身","ペニ分身"
"bound_together","連縛","連縛"
"bounen_no_xam'd","亡念のザムド","亡念のザムド"
"bounsweet","アマカジ","アマカジ"
"bouquet_(blue_dragon)","ブーケ(ブルードラゴン)","ブーケ(ブルードラゴン)"
"bousouzoku","暴走族,ぼうそうぞく","暴走族,ぼうそうぞく"
"boutonniere","ブートニア","ブートニア"
"bow_(paper_mario)","レサレサ","レサレサ"
"bowlegged_pose","蟹股ポージング,がに股","蟹股ポージング,がに股"
"bowler_hat","山高帽","山高帽"
"bowling","ボウリング","ボウリング"
"bowling_alley","ボウリング場","ボウリング場"
"bowling_ball","ボウリング","ボウリング"
"bowman_jean","ボーマン・ジーン","ボーマン・ジーン"
"bowser_jr.","クッパJr","クッパJr"
"bowsette_jr.","クッパ姫Jr.","クッパ姫Jr."
"box_art","ボックスアート","ボックスアート"
"boxing","ボクシング","ボクシング"
"boyd_(fire_emblem)","ボーレ","ボーレ"
"boyfriend_(houkago_play)","彼氏くん","彼氏くん"
"boyshort_panties","ボーイレッグ","ボーイレッグ"
"bra-ban!","ぶらばん!","ぶらばん!"
"bra_(dragon_ball)","ブラ,ブラ(ドラゴンボール)","ブラ,ブラ(ドラゴンボール)"
"bra_in_mouth","くちブラ","くちブラ"
"bra_on_head","ブラミミモード","ブラミミモード"
"bracelet_girls","ブレスレットの子","ブレスレットの子"
"braces","矯正萌え","矯正萌え"
"brachiosaurus","ブラキオサウルス","ブラキオサウルス"
"brachydios","ブラキディオス","ブラキディオス"
"bradamante_(fate)","ブラダマンテ(Fate),ブラダマンテ","ブラダマンテ(Fate),ブラダマンテ"
"bradamante_(welcome_bunny)_(fate)","ウェルカム・バニー","ウェルカム・バニー"
"brady_(fire_emblem)","ブレディ","ブレディ"
"braid_girl_(enmu's_recruits)","三つ編みの少女","三つ編みの少女"
"brain","脳,髄,ブレーン","脳,髄,ブレーン"
"brain_drain_(skullgirls)","ブレイン・ドレイン,ブレインドレイン","ブレイン・ドレイン,ブレインドレイン"
"brain_freeze","アイスクリーム頭痛","アイスクリーム頭痛"
"brain_powered","ブレンパワード","ブレンパワード"
"bralines","浮きブラ","浮きブラ"
"brand_new_animal","BNAイラコン,ビーエヌエー","BNAイラコン,ビーエヌエー"
"brand_of_the_exalt","聖王の印","聖王の印"
"brandish","ブランディッシュ","ブランディッシュ"
"brant_(wuthering_waves)","ブラント(鳴潮)","ブラント(鳴潮)"
"branwen_(queen's_blade)","ブランウェン,囚われの竜戦士ブランウェン","ブランウェン,囚われの竜戦士ブランウェン"
"bras_d'honneur","お姉ちゃんに任せなさい","お姉ちゃんに任せなさい"
"brass_knuckles","メリケンサック","メリケンサック"
"brassius_(pokemon)","コルサ,コルサ(トレーナー),コルサ(ポケモン)","コルサ,コルサ(トレーナー),コルサ(ポケモン)"
"brave_(pixar)","メリダとおそろしの森","メリダとおそろしの森"
"brave_fencer_musashiden","ブレイヴフェンサー武蔵伝,武蔵伝","ブレイヴフェンサー武蔵伝,武蔵伝"
"brave_frontier","ブレイブフロンティア","ブレイブフロンティア"
"brave_girl_ravens","ブレイヴガールレイヴンズ,ブレイヴガール・レイヴンズ,ブレイヴガール","ブレイヴガールレイヴンズ,ブレイヴガール・レイヴンズ,ブレイヴガール"
"brave_sword_x_blaze_soul","ブレイブソード×ブレイズソウル,ブレxブレ","ブレイブソード×ブレイズソウル,ブレxブレ"
"bravely_default:_flying_fairy","ブレイブリーデフォルト","ブレイブリーデフォルト"
"bravely_default_(series)","ブレデフォ","ブレデフォ"
"bravely_second:_end_layer","ブレイブリーセカンド","ブレイブリーセカンド"
"braveman","ブレイブマン","ブレイブマン"
"bravern","ブレイバーン","ブレイバーン"
"braviary","ウォーグル","ウォーグル"
"brawl_stars","ブロスタ","ブロスタ"
"brawly_(pokemon)","トウキ,トウキ(トレーナー)","トウキ,トウキ(トレーナー)"
"brazil","ブラジル","ブラジル"
"brazilian_miku","brazilianmiku","brazilianmiku"
"bread_eating_race","パン食い競争,パン食い競走","パン食い競争,パン食い競走"
"breadwinners","breadwinners","breadwinners"
"bready_(nikke)","ブレッディ(勝利の女神:NIKKE)","ブレッディ(勝利の女神:NIKKE)"
"break_blade","ブレイクブレイド","ブレイクブレイド"
"breakdance","ブレイクダンス","ブレイクダンス"
"breakers","ブレイカーズ,ブレイカーズ・リベンジ","ブレイカーズ,ブレイカーズ・リベンジ"
"breakfast","朝飯,朝御飯,朝ご飯,朝ごはん","朝飯,朝御飯,朝ご飯,朝ごはん"
"breaking_bad","ブレイキング・バッド","ブレイキング・バッド"
"breast_contest","乳相撲","乳相撲"
"breast_mousepad","おっぱいマウスパッド,雄っぱいマウスパッド","おっぱいマウスパッド,雄っぱいマウスパッド"
"breast_pillow","乳枕,ちちまくら,胸枕,おっぱいまくら,おっぱい枕","乳枕,ちちまくら,胸枕,おっぱいまくら,おっぱい枕"
"breast_pump","搾乳機,搾乳器","搾乳機,搾乳器"
"breasts_day","乳の日,おっぱいの日,いいおっぱいの日","乳の日,おっぱいの日,いいおっぱいの日"
"breath_of_fire_i","ブレスオブファイア1","ブレスオブファイア1"
"breath_of_fire_ii","ブレスオブファイア2","ブレスオブファイア2"
"breath_of_fire_iii","ブレスオブファイア3","ブレスオブファイア3"
"breath_of_fire_iv","ブレスオブファイア4","ブレスオブファイア4"
"breath_of_fire_v","ブレスオブファイア5","ブレスオブファイア5"
"breeding_mount","擬牝台","擬牝台"
"breloom","キノガッサ","キノガッサ"
"bremerton_(day-off_date)_(azur_lane)","ハッピーデーティング!","ハッピーデーティング!"
"bremerton_(kung_fu_cruiser)_(azur_lane)","アクションクルーズ,功夫少女!","アクションクルーズ,功夫少女!"
"bremerton_(pillowed_counseling)_(azur_lane)","ピロー・コンサルテーション","ピロー・コンサルテーション"
"bremerton_(relaxation_consultation)_(azur_lane)","ゆったりリラックスタイム","ゆったりリラックスタイム"
"bren_lmg","ブレン,ブレン軽機関銃","ブレン,ブレン軽機関銃"
"brennus_(azur_lane)","ブレンヌス(アズールレーン)","ブレンヌス(アズールレーン)"
"brest_(azur_lane)","ブレスト(アズールレーン)","ブレスト(アズールレーン)"
"brest_(marine_muse)_(azur_lane)","蒼海の織歌","蒼海の織歌"
"brey","ブライ","ブライ"
"brian_griffin","ブライアン・グリフィン","ブライアン・グリフィン"
"briar_(league_of_legends)","Briar(LoL)","Briar(LoL)"
"briar_(pokemon)","ブライア,ブライア(ポケモン)","ブライア,ブライア(ポケモン)"
"briar_rose_(sinoalice)","いばら姫(シノアリス),いばら姫","いばら姫(シノアリス),いばら姫"
"bribery","賄賂,わいろ,袖の下","賄賂,わいろ,袖の下"
"brid_(nikke)","ブリッド(勝利の女神:NIKKE),ブリッド(NIKKE)","ブリッド(勝利の女神:NIKKE),ブリッド(NIKKE)"
"bridget_evans","ブリジット・エヴァンス","ブリジット・エヴァンス"
"brief_(psg)","ブリーフ,ブリーフ(パンスト),ブリーファス・ロック","ブリーフ,ブリーフ(パンスト),ブリーファス・ロック"
"brigadoon","まりんとメラン","まりんとメラン"
"brigette_(pokemon)","アズサ(ポケモン)","アズサ(ポケモン)"
"brighid_(xenoblade)","カグツチ,ブリギッド,カグツチ(ゼノブレイド2)","カグツチ,ブリギッド,カグツチ(ゼノブレイド2)"
"bright_memories_(idolmaster)","ブライトメモリーズ","ブライトメモリーズ"
"bright_noa","ブライト・ノア","ブライト・ノア"
"brigid_(fire_emblem)","ブリギッド(FE聖戦)","ブリギッド(FE聖戦)"
"brigitta_(metaphor:_refantazio)","ベルギッタ","ベルギッタ"
"brigitte_(overwatch)","Brigitte","Brigitte"
"brilliant_pagoda_or_haze_castle","連縁天影戦記,天影戦記","連縁天影戦記,天影戦記"
"bring_stabity","ブリング・スタビティ","ブリング・スタビティ"
"brionne","オシャマリ","オシャマリ"
"bristol_(azur_lane)","ブリストル(アズールレーン)","ブリストル(アズールレーン)"
"british_army","イギリス陸軍,英国陸軍","イギリス陸軍,英国陸軍"
"britomart_(fate)","ブリトマート(Fate)","ブリトマート(Fate)"
"brittany_(pikmin)","ブリトニー","ブリトニー"
"broca_(arknights)","ブローカ(アークナイツ)","ブローカ(アークナイツ)"
"broccoli","ブロッコリ,ブロッコリー","ブロッコリ,ブロッコリー"
"brock_(pokemon)","タケシ(トレーナー),タケシ(アニポケ),タケシ","タケシ(トレーナー),タケシ(アニポケ),タケシ"
"brocon","ブラコン,ブラザーコンプレックス,コンプレックス,だめだこのお姉ちゃん早くなんとかしないと","ブラコン,ブラザーコンプレックス,コンプレックス,だめだこのお姉ちゃん早くなんとかしないと"
"broken_vessel_(hollow_knight)","BrokenVessel","BrokenVessel"
"broly_(dragon_ball_super)","ブロリー,ブロリー(ドラゴンボール超)","ブロリー,ブロリー(ドラゴンボール超)"
"broly_(dragon_ball_z)","ブロリー,ブロリー(ドラゴンボールZ)","ブロリー,ブロリー(ドラゴンボールZ)"
"bronto_burt","ブロントバート","ブロントバート"
"bronya_rand","ブローニャ,ブローニャ・ランド","ブローニャ,ブローニャ・ランド"
"bronya_zaychik_(haxxor_bunny)","ハッカーバニー","ハッカーバニー"
"bronya_zaychik_(herrscher_of_reason)","理之律者","理之律者"
"bronya_zaychik_(herrscher_of_truth)","ブローニャ・ザイチク(真理の律者)","ブローニャ・ザイチク(真理の律者)"
"bronya_zaychik_(silverwing:_n-ex)","ブローニャ・ザイチク(新生の銀翼)","ブローニャ・ザイチク(新生の銀翼)"
"bronya_zaychik_(valkyrie_chariot)","ブローニャ・ザイチク(通常)","ブローニャ・ザイチク(通常)"
"bronze_parrot","ブロンズパロット","ブロンズパロット"
"bronzong","ドータクン","ドータクン"
"bronzor","ドーミラー","ドーミラー"
"brook_(one_piece)","ブルック,ソウルキング","ブルック,ソウルキング"
"brooklyn_(azur_lane)","ブルックリン(アズールレーン)","ブルックリン(アズールレーン)"
"brooklyn_(kancolle)","ブルックリン,Brooklyn(艦隊これくしょん),ブルックリン(艦隊これくしょん),Brooklyn(艦これ),ブルックリン(艦これ)","ブルックリン,Brooklyn(艦隊これくしょん),ブルックリン(艦隊これくしょん),Brooklyn(艦これ),ブルックリン(艦これ)"
"broom_surfing","立ち乗り","立ち乗り"
"brown_bear_(kemono_friends)","ヒグマ(けものフレンズ),ヒグマ,ヒグママ","ヒグマ(けものフレンズ),ヒグマ,ヒグママ"
"brown_dust","ブラウンダスト,ブラダス","ブラウンダスト,ブラダス"
"brown_dust_2","ブラダス2,ブラウンダスト2","ブラダス2,ブラウンダスト2"
"brown_hair-chan_(ramchi)","茶髪ちゃん","茶髪ちゃん"
"brown_long-eared_bat_(kemono_friends)","ウサギコウモリ(けものフレンズ),ウサギコウモリ,うさこペイント","ウサギコウモリ(けものフレンズ),ウサギコウモリ,うさこペイント"
"brown_thoroughbred_(kemono_friends)","サラブレッドあおかげ(けものフレンズ),サラブレッドあおかげ","サラブレッドあおかげ(けものフレンズ),サラブレッドあおかげ"
"brownie_(last_origin)","T-2","T-2"
"browning_hi-power","ブローニング・ハイパワー,ハイパワー","ブローニング・ハイパワー,ハイパワー"
"browning_m2","ブローニングM2重機関銃","ブローニングM2重機関銃"
"bruce_banner","ブルース・バナー","ブルース・バナー"
"bruce_lee","ブルース・リー","ブルース・リー"
"bruce_lee's_jumpsuit","トラックスーツ","トラックスーツ"
"bruce_wayne","ブルース・ウェイン","ブルース・ウェイン"
"brucie_(infighter821)","拳宝","拳宝"
"bruenhilde_(azur_lane)","ブリュンヒルデ(アズールレーン),ブリュンヒルデ","ブリュンヒルデ(アズールレーン),ブリュンヒルデ"
"bruno_(fire_emblem)","ブルーノ","ブルーノ"
"bruno_(pokemon)","シバ(ポケモン)","シバ(ポケモン)"
"brushbuddy","フデムシ","フデムシ"
"brushing_another's_teeth","歯磨きプレイ","歯磨きプレイ"
"bruxish","ハギギシリ","ハギギシリ"
"bryan_fury","ブライアン・フューリー","ブライアン・フューリー"
"brycen_(pokemon)","ハチク,ハチクマン,ハチフロ,アーハチ,アデハチ","ハチク,ハチクマン,ハチフロ,アーハチ,アデハチ"
"brynhild_(cheer_for_master)_(fate)","チア・フォー・マスター","チア・フォー・マスター"
"brynhild_(fate)","ランサー(フラグメンツ)","ランサー(フラグメンツ)"
"brynhild_(swimsuit_berserker)_(first_ascension)_(fate)","ブリュンヒルデ(水着)","ブリュンヒルデ(水着)"
"btooom!","ブトゥーム","ブトゥーム"
"bubble_(arknights)","バブル(アークナイツ)","バブル(アークナイツ)"
"bubble_(the_amazing_digital_circus)","バブル","バブル"
"bubble_bath","泡風呂","泡風呂"
"bubble_filter","水玉コラ","水玉コラ"
"bubble_girl_(boku_no_hero_academia)","バブルガール,泡田薫子","バブルガール,泡田薫子"
"bubble_gum_fellow_(umamusume)","バブルガムフェロー(ウマ娘)","バブルガムフェロー(ウマ娘)"
"bubble_head_nurse","バブルヘッドナース","バブルヘッドナース"
"bubble_man","バブルマン","バブルマン"
"bubble_pipe","シャボン玉ストロー,しゃぼん玉ストロー","シャボン玉ストロー,しゃぼん玉ストロー"
"bubble_slime","バブルスライム","バブルスライム"
"bubblegum_crisis","バブルガムクライシス","バブルガムクライシス"
"bubbles_(ppg)","バブルス","バブルス"
"bubi_(ironmouse)","Infernal_Beelzebub_Anarchia_Cruul_de_Apokalypsi","Infernal_Beelzebub_Anarchia_Cruul_de_Apokalypsi"
"bubuki_buranki","ブブキ・ブランキ,ブブキブランキ","ブブキ・ブランキ,ブブキブランキ"
"buchi_holes","ブチ穴,イヅブチ穴","ブチ穴,イヅブチ穴"
"buchou_(houkago_play)","部長","部長"
"bucket_of_chicken","オリジナルチキン","オリジナルチキン"
"buckler","バックラー","バックラー"
"buckshot_roulette","BuckshotRoulette","BuckshotRoulette"
"bucky_(chainsaw_man)","コケピー,鶏の悪魔","コケピー,鶏の悪魔"
"bucky_barnes","バッキー・バーンズ","バッキー・バーンズ"
"buddha","仏,仏様,仏陀,如来","仏,仏様,仏陀,如来"
"buddha_(saint_onii-san)","ブッダ","ブッダ"
"buddhism","仏教,佛教","仏教,佛教"
"budding_expeditioner_(pokemon)","かけだし調査員","かけだし調査員"
"buddy_complex","バディ・コンプレックス","バディ・コンプレックス"
"buddy_daddies","バディダディ","バディダディ"
"budew","スボミー","スボミー"
"budgerigar_(bird)","セキセイインコ","セキセイインコ"
"budweiser","バドワイザー,バドガール","バドワイザー,バドガール"
"buena_vista_(old_design)_(umamusume)","ブエナビスタ(ウマ娘)","ブエナビスタ(ウマ娘)"
"buena_vista_(umamusume)","ブエナビスタ(ウマ娘),ブエナビスタ","ブエナビスタ(ウマ娘),ブエナビスタ"
"buffalo","アメリカバイソン","アメリカバイソン"
"buffalo_bell","バファローベル","バファローベル"
"buffet","ビュッフェ,ブッフェ","ビュッフェ,ブッフェ"
"buffpup_(vtuber)","Buffpup","Buffpup"
"bug_catcher_(pokemon)","むしとりしょうねん","むしとりしょうねん"
"bug_miku_(project_voltage)","むしミク","むしミク"
"buggy_the_clown","千両道化のバギー,バギー(ONEPIECE),道化のバギー","千両道化のバギー,バギー(ONEPIECE),道化のバギー"
"bugle","ビューグル,ラッパ,喇叭","ビューグル,ラッパ,喇叭"
"bugles_(food)","とんがりコーン","とんがりコーン"
"bugs_bunny","バッグス・バニー","バッグス・バニー"
"bugsy_(pokemon)","ツクシ,ツクシ(トレーナー),ツクビオ","ツクシ,ツクシ(トレーナー),ツクビオ"
"buizel","ブイゼル","ブイゼル"
"bukiyou_na_senpai","不器用な先輩。,不器用な先輩","不器用な先輩。,不器用な先輩"
"bukkake!_doshikoring_minuki_max_acme_shite_mo_ii_desu_ka","BUKKAKE!ドシコリングMINUKIマックスアクメしてもいいですか?,BUKKAKE!ドシコリングMINUKIマックスアクメしてもいいですか?~ドエロいポーズして貰って見抜きぶっかけしたらお互い興奮がドチャクソヤバイです~","BUKKAKE!ドシコリングMINUKIマックスアクメしてもいいですか?,BUKKAKE!ドシコリングMINUKIマックスアクメしてもいいですか?~ドエロいポーズして貰って見抜きぶっかけしたらお互い興奮がドチャクソヤバイです~"
"bulbmin","コッパチャッピー","コッパチャッピー"
"bulborb","チャッピー,アカチャッピー","チャッピー,アカチャッピー"
"bulges_touching","兜合わせ","兜合わせ"
"bull","牡牛,雄牛","牡牛,雄牛"
"bulldog","ブルドッグ","ブルドッグ"
"bullet_(blazblue)","バレット(ブレイブルー)","バレット(ブレイブルー)"
"bullet_bill","キラー(マリオシリーズ)","キラー(マリオシリーズ)"
"bullet_girls","バレットガールズ","バレットガールズ"
