"tag","ja","aliases"
"age_difference","年の差,年齢差,大人×子供,歳の差,おねロリ,ショタおね,ロリおね,ママショタ,おばショタ,おばロリ,ババショタ,おにロリ,おにショタ,ショタおに,ロリおに,パパショタ,お姉さん×男の娘","年の差,年齢差,大人×子供,歳の差,おねロリ,ショタおね,ロリおね,ママショタ,おばショタ,おばロリ,ババショタ,おにロリ,おにショタ,ショタおに,ロリおに,パパショタ,お姉さん×男の娘"
"alcohol","酒,お酒,アルコール","酒,お酒,アルコール"
"alice_margatroid","アリぱい,アリス・マーガトロイド","アリぱい,アリス・マーガトロイド"
"all_fours","四つん這い,女豹のポーズ,四肢着地","四つん這い,女豹のポーズ,四肢着地"
"alternate_breast_size","貧乳化,巨乳化,爆乳化,超乳化","貧乳化,巨乳化,爆乳化,超乳化"
"alternate_costume","衣装チェンジ,私服艦娘","衣装チェンジ,私服艦娘"
"alternate_hairstyle","髪型チェンジ","髪型チェンジ"
"anal","アナル,アナルセックス,着衣アナルセックス,アナル騎乗位,肛交","アナル,アナルセックス,着衣アナルセックス,アナル騎乗位,肛交"
"androgynous","中性的,無性別","中性的,無性別"
"angel_wings","天使","天使"
"anger_vein","怒りマーク,青筋","怒りマーク,青筋"
"angry","怒り","怒り"
"animal","動物,アニマル","動物,アニマル"
"antenna_hair","触角,アホ毛,触角娘","触角,アホ毛,触角娘"
"anus","肛門,アヌス,尻の穴,縦割れアナル","肛門,アヌス,尻の穴,縦割れアナル"
"apron","エプロン,えぷろん","エプロン,えぷろん"
"areolae","乳輪","乳輪"
"areola_slip","輪チラ","輪チラ"
"arknights","アークナイツ,アークナイツバトルイラコン","アークナイツ,アークナイツバトルイラコン"
"armband","腕章","腕章"
"armlet","アームレット","アームレット"
"armor","鎧,甲冑","鎧,甲冑"
"armpits","腋,脇,魅惑の腋,腋巫女,脇の下,腋下","腋,脇,魅惑の腋,腋巫女,脇の下,腋下"
"arms_behind_back","後ろ手,後ろ手縛り","後ろ手,後ろ手縛り"
"artoria_pendragon_(fate)","アルトリア・ペンドラゴン,アルトリア,聖剣の騎士王,騎士王","アルトリア・ペンドラゴン,アルトリア,聖剣の騎士王,騎士王"
"ascot","ジャボ","ジャボ"
"ass_visible_through_thighs","前から見えるお尻","前から見えるお尻"
"azur_lane","アズールレーン,艦B,アズレン,アズールレーン陣営,パイズールレーン","アズールレーン,艦B,アズレン,アズールレーン陣営,パイズールレーン"
"back","背中,魅惑の背中,ぱっくり背中,せなか","背中,魅惑の背中,ぱっくり背中,せなか"
"backlighting","逆光","逆光"
"backpack","バックパック,リュックサック","バックパック,リュックサック"
"bag","鞄,かばん,カバン","鞄,かばん,カバン"
